"ReportType","AnomalyType","Site","ItemNumber","ItemDescription","ItemType","Supplier","SupplierName","ScheduleNumber","ScheduleLine","PONumber","POLine","Metric1Label","Metric1Value","Metric2Label","Metric2Value","Metric3Label","Metric3Value","EarliestDate","LatestDate","Action"
"ISSUE","ORPHANED_SCHEDULE","2798","5363993-20","TA.SC V8 FC","FG","","","SO10029","94","","","TotalScheduledQty","660.0000000000","","","","","11/12/2025 00:00:00","05/10/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","5364025-20","TA.SC LTH FB RH","FG","","","SO10029","95","","","TotalScheduledQty","750.0000000000","","","","","11/12/2025 00:00:00","27/04/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","5364045-20","TA.SC LTH FB LH","FG","","","SO10029","96","","","TotalScheduledQty","1350.0000000000","","","","","11/12/2025 00:00:00","02/11/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","5364053-20","TA.SC V8 FB RH","FG","","","SO10029","97","","","TotalScheduledQty","870.0000000000","","","","","11/12/2025 00:00:00","22/12/2025 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","5375289-20","TA.SC V8 FB LH","FG","","","SO10029","99","","","TotalScheduledQty","260.0000000000","","","","","11/12/2025 00:00:00","06/07/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","5402989","FHR SP/ LONG/ BYO CVR","FG","2798","","SO10006","67","","","TotalScheduledQty","280035.0000000000","","","","","12/12/2025 00:00:00","26/10/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","5402989-TS814Z","FHR SP/ LONG/ BYO CVR","FG","","","SO10006","208","","","TotalScheduledQty","338257.0000000000","","","","","12/12/2025 00:00:00","28/09/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","5403033","TRIM C Fiat B SEG","FG","","","SO10006","68","","","TotalScheduledQty","250734.0000000000","","","","","12/12/2025 00:00:00","26/10/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","5403033-FP210","FHR LTH OPT ASSY CVR","FG","","","SO10006","144","","","TotalScheduledQty","95468.0000000000","","","","","12/12/2025 00:00:00","26/10/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","5403034","TRIM C Fiat B SEG","FG","","","SO10006","69","","","TotalScheduledQty","394371.0000000000","","","","","12/12/2025 00:00:00","25/05/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","5403034-TS285","FHR MID ASSY CVR","FG","","","SO10006","143","","","TotalScheduledQty","28074.0000000000","","","","","01/06/2026 00:00:00","28/09/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","5403034-TS619Z","FHR MID ASSY CVR","FG","","","SO10006","209","","","TotalScheduledQty","263120.0000000000","","","","","06/04/2026 00:00:00","28/09/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","5403034-TS814Y","FHR MID ASSY CVR","FG","","","SO10006","210","","","TotalScheduledQty","3360.0000000000","","","","","04/05/2026 00:00:00","28/09/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","5410298-0LIT","L551 TAURUS ARMREST","FG","","","SO10018","1","","","TotalScheduledQty","84858.0000000000","","","","","11/12/2025 00:00:00","23/11/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","5410298-8PVJ","L551 TAURUS ARMREST","FG","","","SO10018","2","","","TotalScheduledQty","650098.0000000000","","","","","11/12/2025 00:00:00","23/11/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","5410305-8PVJ","L551 WINDSOR ARMREST","FG","","","SO10018","3","","","TotalScheduledQty","182613.0000000000","","","","","11/12/2025 00:00:00","23/11/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","5429505-AG","PSA CDPO P64 RARM","FG","","","SO10023","1","","","TotalScheduledQty","1197540.0000000000","","","","","11/12/2025 00:00:00","07/05/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","5429507-AG","PSA CDPO P64 RARM","FG","","","SO10023","2","","","TotalScheduledQty","64710.0000000000","","","","","11/12/2025 00:00:00","30/04/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","5429512-AE","ARMREST/CUP HOLDER/BRKT","FG","","","SO10023","4","","","TotalScheduledQty","36576.0000000000","","","","","11/12/2025 00:00:00","30/04/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","5572653-1B55-000","ASM HR RS OB ART 2 ST TR","FG","","","SO10015","86","","","TotalScheduledQty","90988.0000000000","","","","","10/12/2025 00:00:00","23/12/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","5572653-1B55-000","ASM HR RS OB ART 2 ST TR","FG","","","SO10022","52","","","TotalScheduledQty","289428.0000000000","","","","","10/12/2025 00:00:00","25/09/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","5572653-7C70-000","ASM HR RS OB ART 2 ST TR","FG","","","SO10015","85","","","TotalScheduledQty","1093351.0000000000","","","","","10/12/2025 00:00:00","23/12/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","5572653-7C70-000","ASM HR RS OB ART 2 ST TR","FG","","","SO10022","51","","","TotalScheduledQty","1706913.0000000000","","","","","10/12/2025 00:00:00","25/09/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","5572655-1A19-000","ROHR 60 LUGANO ECE","FG","","","SO10015","89","","","TotalScheduledQty","82583.0000000000","","","","","16/12/2025 00:00:00","23/12/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","5572655-1A19-000","ROHR 60 LUGANO ECE","FG","","","SO10022","53","","","TotalScheduledQty","45424.0000000000","","","","","12/12/2025 00:00:00","25/09/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","5572655-1C88-000","ROHR 60 LUGANO ECE","FG","","","SO10015","109","","","TotalScheduledQty","2852.0000000000","","","","","07/01/2026 00:00:00","23/09/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","5572655-1D27-000","ROHR 60 LUGANO ECE","No BOM","","","SO10015","133","","","TotalScheduledQty","3558.0000000000","","","","","10/12/2025 00:00:00","29/07/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","5572655-7C70-000","ROHR 60 LUGANO ECE","FG","","","SO10015","91","","","TotalScheduledQty","77257.0000000000","","","","","31/12/2025 00:00:00","23/12/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","5572655-7C70-000","ROHR 60 LUGANO ECE","FG","","","SO10022","77","","","TotalScheduledQty","97576.0000000000","","","","","10/12/2025 00:00:00","25/09/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","5572655-7F99-000","ROHR 60 LUGANO ECE","FG","","","SO10015","90","","","TotalScheduledQty","165439.0000000000","","","","","11/12/2025 00:00:00","23/12/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","5572655-7F99-000","ROHR 60 LUGANO ECE","FG","","","SO10022","75","","","TotalScheduledQty","101274.0000000000","","","","","10/12/2025 00:00:00","25/09/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","5572687-1B55-000","3R HR ASSEMBLY","FG","","","SO10022","79","","","TotalScheduledQty","196201.0000000000","","","","","10/12/2025 00:00:00","25/09/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","5572687-7C70-000","3R HR ASSEMBLY","FG","","","SO10022","78","","","TotalScheduledQty","921298.0000000000","","","","","10/12/2025 00:00:00","25/09/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","5581529-1B55-000","ASM HR RS OB ART 2 ST TR","FG","","","SO10022","57","","","TotalScheduledQty","94668.0000000000","","","","","23/01/2026 00:00:00","25/09/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","5581529-7C70-000","ASM HR RS OB ART 2 ST TR","FG","","","SO10022","56","","","TotalScheduledQty","99199.0000000000","","","","","23/01/2026 00:00:00","25/09/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","5581536-1A19-000","HR RS OB ART 2 LUGANO","FG","","","SO10022","58","","","TotalScheduledQty","3450.0000000000","","","","","28/01/2026 00:00:00","25/09/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","5581536-7C70-000","HR RS OB ART 2 LUGANO","FG","","","SO10022","66","","","TotalScheduledQty","9131.0000000000","","","","","23/01/2026 00:00:00","25/09/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","5581536-7F99-000","HR RS OB ART 2 LUGANO","FG","","","SO10022","72","","","TotalScheduledQty","3358.0000000000","","","","","01/05/2026 00:00:00","25/09/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","5581565-1B55-000","RCHR ARTICO 2 ECE","FG","","","SO10015","46","","","TotalScheduledQty","218812.0000000000","","","","","10/12/2025 00:00:00","23/12/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","5581565-1B55-000","RCHR ARTICO 2 ECE","FG","","","SO10022","33","","","TotalScheduledQty","144518.0000000000","","","","","10/12/2025 00:00:00","25/09/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","5581565-7C70-000","RCHR ARTICO 2 ECE","FG","","","SO10015","45","","","TotalScheduledQty","1937541.0000000000","","","","","10/12/2025 00:00:00","23/12/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","5581565-7C70-000","RCHR ARTICO 2 ECE","FG","","","SO10022","32","","","TotalScheduledQty","853687.0000000000","","","","","10/12/2025 00:00:00","25/09/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","5581567-1A19-000","RCHR LUGANO 2 ECE","FG","","","SO10015","47","","","TotalScheduledQty","149597.0000000000","","","","","10/12/2025 00:00:00","28/10/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","5581567-1A19-000","RCHR LUGANO 2 ECE","FG","","","SO10022","36","","","TotalScheduledQty","22605.0000000000","","","","","15/12/2025 00:00:00","25/09/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","5581567-1D27-000","RCHR LUGANO 2 ECE","FG","","","SO10015","70","","","TotalScheduledQty","20874.0000000000","","","","","10/12/2025 00:00:00","22/07/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","5581567-7C70-000","RCHR LUGANO 2 ECE","FG","","","SO10015","49","","","TotalScheduledQty","129948.0000000000","","","","","10/12/2025 00:00:00","28/10/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","5581567-7C70-000","RCHR LUGANO 2 ECE","FG","","","SO10022","38","","","TotalScheduledQty","48597.0000000000","","","","","10/12/2025 00:00:00","25/09/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","5581567-7F99-000","RCHR LUGANO 2 ECE","FG","","","SO10015","48","","","TotalScheduledQty","340380.0000000000","","","","","10/12/2025 00:00:00","23/12/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","5581567-7F99-000","RCHR LUGANO 2 ECE","FG","","","SO10022","37","","","TotalScheduledQty","50181.0000000000","","","","","10/12/2025 00:00:00","25/09/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","5581911-8AH3-000","RARM ASM ARTICO HL 280MM","FG","","","SO10015","110","","","TotalScheduledQty","5328.0000000000","","","","","25/02/2026 00:00:00","23/12/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","5581911-8AH3-000","RARM ASM ARTICO HL 280MM","FG","","","SO10022","18","","","TotalScheduledQty","46052.0000000000","","","","","10/12/2025 00:00:00","25/09/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","5581911-9L41-000","RARM ASM ARTICO HL 280MM","FG","","","SO10015","111","","","TotalScheduledQty","26496.0000000000","","","","","11/12/2025 00:00:00","23/12/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","5581911-9L41-000","RARM ASM ARTICO HL 280MM","FG","","","SO10022","17","","","TotalScheduledQty","144079.0000000000","","","","","10/12/2025 00:00:00","25/09/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","5581916-8AJ1-000","RARM ASM LTH HL 280MM","FG","","","SO10015","112","","","TotalScheduledQty","1472.0000000000","","","","","02/09/2026 00:00:00","30/09/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","5581916-8AJ1-000","RARM ASM LTH HL 280MM","FG","","","SO10022","19","","","TotalScheduledQty","8960.0000000000","","","","","10/12/2025 00:00:00","25/09/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","5581916-9E43-000","RARM ASM LTH HL 280MM","FG","","","SO10015","113","","","TotalScheduledQty","3968.0000000000","","","","","29/04/2026 00:00:00","28/10/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","5581916-9E43-000","RARM ASM LTH HL 280MM","FG","","","SO10022","20","","","TotalScheduledQty","15176.0000000000","","","","","10/12/2025 00:00:00","25/09/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","5581947-1B55-000","ROHR ARTICO 2 NA/KOR","FG","","","SO10015","14","","","TotalScheduledQty","342355.0000000000","","","","","31/12/2025 00:00:00","23/12/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","5581947-7C70-000","ROHR ARTICO 2 NA/KOR","FG","","","SO10015","13","","","TotalScheduledQty","562902.0000000000","","","","","10/12/2025 00:00:00","23/12/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","5581950-1A19-000","ROHR LUGANO 2 NA/KOR","FG","","","SO10015","15","","","TotalScheduledQty","21910.0000000000","","","","","31/12/2025 00:00:00","30/09/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","5581950-1D27-000","ROHR LUGANO 2 NA/KOR","FG","","","SO10015","73","","","TotalScheduledQty","115.0000000000","","","","","27/05/2026 00:00:00","22/07/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","5581950-7C70-000","ROHR LUGANO 2 NA/KOR","FG","","","SO10015","17","","","TotalScheduledQty","42320.0000000000","","","","","31/12/2025 00:00:00","23/12/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","5581950-7F99-000","ROHR LUGANO 2 NA/KOR","FG","","","SO10015","16","","","TotalScheduledQty","19228.0000000000","","","","","31/12/2025 00:00:00","23/12/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","5581955-1B55-000","ROHR ARTICO 2 ECE","FG","","","SO10015","8","","","TotalScheduledQty","347783.0000000000","","","","","10/12/2025 00:00:00","23/12/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","5581955-7C70-000","ROHR ARTICO 2 ECE","FG","","","SO10015","7","","","TotalScheduledQty","2736825.0000000000","","","","","10/12/2025 00:00:00","23/12/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","5581959-1A19-000","ROHR LUGANO ECE","FG","","","SO10015","9","","","TotalScheduledQty","213180.0000000000","","","","","10/12/2025 00:00:00","23/12/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","5581959-1C88-000","ROHR LUGANO ECE","FG","","","SO10015","131","","","TotalScheduledQty","1356.0000000000","","","","","04/05/2026 00:00:00","23/11/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","5581959-1D27-000","ROHR LUGANO ECE","FG","","","SO10015","72","","","TotalScheduledQty","36064.0000000000","","","","","10/12/2025 00:00:00","29/07/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","5581959-7C70-000","ROHR LUGANO ECE","FG","","","SO10015","11","","","TotalScheduledQty","178503.0000000000","","","","","10/12/2025 00:00:00","23/12/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","5581959-7F99-000","ROHR LUGANO ECE","FG","","","SO10015","10","","","TotalScheduledQty","517545.0000000000","","","","","10/12/2025 00:00:00","23/12/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","5661124-8AH3-000","RARM ASM ART LL 280MM","FG","","","SO10022","11","","","TotalScheduledQty","134776.0000000000","","","","","10/12/2025 00:00:00","25/09/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","5661124-9L41-000","RARM ASM ART LL 280MM","FG","","","SO10022","10","","","TotalScheduledQty","645567.0000000000","","","","","10/12/2025 00:00:00","25/09/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","5661132-8AJ1-000","RARM ASM LTH LL 280MM","FG","","","SO10022","12","","","TotalScheduledQty","26004.0000000000","","","","","10/12/2025 00:00:00","25/09/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","5661132-9E43-000","RARM ASM LTH LL 280MM","FG","","","SO10022","13","","","TotalScheduledQty","90238.0000000000","","","","","10/12/2025 00:00:00","25/09/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","5748097-CHAC","SB SPA3","FG","","","SO10005","166","","","TotalScheduledQty","456627.0000000000","","","","","10/12/2025 00:00:00","26/10/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","5748097-DAWN","SB SPA3","FG","","","SO10005","167","","","TotalScheduledQty","151119.0000000000","","","","","10/12/2025 00:00:00","26/10/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","5748098-CHAC","SB SPA3","FG","","","SO10005","168","","","TotalScheduledQty","456683.0000000000","","","","","10/12/2025 00:00:00","26/10/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","5748098-DAWN","SB SPA3","FG","","","SO10005","169","","","TotalScheduledQty","151191.0000000000","","","","","10/12/2025 00:00:00","26/10/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","5777904-ND","TA.MAN FWG FC LUX","FG","","","SO10029","243","","","TotalScheduledQty","1313886.0000000000","","","","","16/12/2025 00:00:00","16/11/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","5777905-NG","TA.MAN LTH FC LUX","FG","","","SO10029","245","","","TotalScheduledQty","4710.0000000000","","","","","22/12/2025 00:00:00","16/11/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","5777906-NG","TA.MAN LTH FC LUXT VENT","FG","","","SO10029","246","","","TotalScheduledQty","11910.0000000000","","","","","22/12/2025 00:00:00","09/11/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","5777907-ND","TA.MAN FWG FC FOLDABLE","FG","","","SO10029","247","","","TotalScheduledQty","204246.0000000000","","","","","22/12/2025 00:00:00","16/11/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","5777910-ND","TA.MAN FWG FC FIX","FG","","","SO10029","250","","","TotalScheduledQty","14802.0000000000","","","","","16/12/2025 00:00:00","16/11/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","5777911-NG","TA.MAN LTH FC FIX","FG","","","SO10029","252","","","TotalScheduledQty","216.0000000000","","","","","23/12/2025 00:00:00","19/10/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","5777912-ND","TA.MAN FWG FC SWVL","FG","","","SO10029","253","","","TotalScheduledQty","26586.0000000000","","","","","22/12/2025 00:00:00","19/10/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","5777914-NG","TA.MAN LTH FC SWVL","FG","","","SO10029","255","","","TotalScheduledQty","3468.0000000000","","","","","22/12/2025 00:00:00","23/11/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","5777931-ND","TA.MAN FWG FC CENTER","FG","","","SO10029","256","","","TotalScheduledQty","46620.0000000000","","","","","22/12/2025 00:00:00","19/10/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","5778246-NH","TA.MAN E LTH FC LUX","FG","","","SO10029","258","","","TotalScheduledQty","35880.0000000000","","","","","22/12/2025 00:00:00","16/11/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","5778247-NH","TA.MAN E LTH FC LUXT VE","FG","","","SO10029","259","","","TotalScheduledQty","31920.0000000000","","","","","16/12/2025 00:00:00","16/11/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","5778250-NH","TA.MAN E LTH FC FOLD","FG","","","SO10029","260","","","TotalScheduledQty","96.0000000000","","","","","30/12/2025 00:00:00","19/10/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","5778252-NH","TA.MAN E LTH FC FIX","FG","","","SO10029","261","","","TotalScheduledQty","504.0000000000","","","","","23/12/2025 00:00:00","19/10/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","5778254-NH","TA.MAN E LTH FC SWVL","FG","","","SO10029","262","","","TotalScheduledQty","14430.0000000000","","","","","22/12/2025 00:00:00","19/10/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","5779696-ND","TA.MAN FWG FB LUX BE RH","FG","","","SO10029","157","","","TotalScheduledQty","32424.0000000000","","","","","22/12/2025 00:00:00","19/10/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","5779697-ND","TA.MAN FWG FB LUX BE LH","FG","","","SO10029","156","","","TotalScheduledQty","254226.0000000000","","","","","22/12/2025 00:00:00","16/11/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","5779698-ND","TA.MAN FWG FBS LUX BE RH","FG","","","SO10029","159","","","TotalScheduledQty","51618.0000000000","","","","","22/12/2025 00:00:00","19/10/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","5779699-ND","TA.MAN FWG FBS LUX BE LH","FG","","","SO10029","158","","","TotalScheduledQty","246120.0000000000","","","","","16/12/2025 00:00:00","16/11/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","5779707-NJ","TA.MAN VEL FB LUX BE RH","FG","","","SO10029","165","","","TotalScheduledQty","16422.0000000000","","","","","16/12/2025 00:00:00","19/10/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","5779708-NJ","TA.MAN VEL FB LUX BE LH","FG","","","SO10029","164","","","TotalScheduledQty","123774.0000000000","","","","","16/12/2025 00:00:00","16/11/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","5779710-NJ","TA.MAN VEL FBS LUX BE RH","FG","","","SO10029","167","","","TotalScheduledQty","98322.0000000000","","","","","22/12/2025 00:00:00","16/11/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","5779711-NJ","TA.MAN VEL FBS LUX BE LH","FG","","","SO10029","166","","","TotalScheduledQty","370482.0000000000","","","","","15/12/2025 00:00:00","16/11/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","5779713-NG","TA.MAN LTH FB LUX BE RH","FG","","","SO10029","169","","","TotalScheduledQty","42.0000000000","","","","","07/09/2026 00:00:00","16/11/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","5779714-NG","TA.MAN LTH FB LUX BE LH","FG","","","SO10029","168","","","TotalScheduledQty","120.0000000000","","","","","08/01/2026 00:00:00","16/11/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","5779727-NG","TA.MAN LTH FBS LUX BE RH","FG","","","SO10029","171","","","TotalScheduledQty","114.0000000000","","","","","29/12/2025 00:00:00","24/02/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","5779728-NG","TA.MAN LTH FBS LUX BE LH","FG","","","SO10029","170","","","TotalScheduledQty","228.0000000000","","","","","23/12/2025 00:00:00","17/08/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","5779737-ND","TA.MAN FWG FB LUX CF RH","FG","","","SO10029","173","","","TotalScheduledQty","43050.0000000000","","","","","22/12/2025 00:00:00","16/11/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","5779738-ND","TA.MAN FWG FB LUX CF LH","FG","","","SO10029","172","","","TotalScheduledQty","99708.0000000000","","","","","22/12/2025 00:00:00","16/11/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","5779739-ND","TA.MAN FWG FBS LUX CF RH","FG","","","SO10029","175","","","TotalScheduledQty","46788.0000000000","","","","","22/12/2025 00:00:00","19/10/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","5779741-ND","TA.MAN FWG FBS LUX CF LH","FG","","","SO10029","174","","","TotalScheduledQty","77238.0000000000","","","","","22/12/2025 00:00:00","16/11/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","5779749-NJ","TA.MAN VEL FB LUX CF RH","FG","","","SO10029","181","","","TotalScheduledQty","14244.0000000000","","","","","16/12/2025 00:00:00","16/11/2026 00:00:00","Create PO line or deactivate schedule"
