"ReportType","AnomalyType","Site","ItemNumber","ItemDescription","ItemType","Supplier","SupplierName","ScheduleNumber","ScheduleLine","PONumber","POLine","Metric1Label","Metric1Value","Metric2Label","Metric2Value","Metric3Label","Metric3Value","EarliestDate","LatestDate","Action"
"ISSUE","STALE_RELEASE","2798","2931961-BLON","COVER BEZEL","No BOM","394112","Kolektor Mobility d o o","","","55103450","22","ReleaseID","20250327-001","","","","","31/01/2025 00:00:00","31/01/2025 00:00:00","Clear release ID or reactivate PO line"
"ISSUE","STALE_RELEASE","2798","2931970","UPPER PLATE","No BOM","394112","Kolektor Mobility d o o","","","55103450","10","ReleaseID","20250327-001","","","","","31/01/2025 00:00:00","31/01/2025 00:00:00","Clear release ID or reactivate PO line"
"ISSUE","STALE_RELEASE","2798","2931973-BLON","LOWER PLATE","No BOM","394112","Kolektor Mobility d o o","","","55103450","24","ReleaseID","20241211-001","","","","","31/01/2025 00:00:00","31/01/2025 00:00:00","Clear release ID or reactivate PO line"
"ISSUE","STALE_RELEASE","2798","2931973-CHAC","LOWER PLATE","RM","394112","Kolektor Mobility d o o","","","55103450","25","ReleaseID","20250327-001","","","","","31/01/2025 00:00:00","31/01/2025 00:00:00","Clear release ID or reactivate PO line"
"ISSUE","STALE_RELEASE","2798","2931983","PINION WITH SNAP","RM","394112","Kolektor Mobility d o o","","","55103450","11","ReleaseID","20250327-001","","","","","31/01/2025 00:00:00","31/01/2025 00:00:00","Clear release ID or reactivate PO line"
"ISSUE","STALE_RELEASE","2798","2931989","SYNCHRONIZATION GEAR","RM","394112","Kolektor Mobility d o o","","","55103450","12","ReleaseID","20250327-001","","","","","31/01/2025 00:00:00","31/01/2025 00:00:00","Clear release ID or reactivate PO line"
"ISSUE","STALE_RELEASE","2798","2932005-BLON","LEFT BUTTON","No BOM","394112","Kolektor Mobility d o o","","","55103450","26","ReleaseID","20250327-001","","","","","31/01/2025 00:00:00","31/01/2025 00:00:00","Clear release ID or reactivate PO line"
"ISSUE","STALE_RELEASE","2798","2932005-CHAC","LEFT BUTTON","RM","394112","Kolektor Mobility d o o","","","55103450","27","ReleaseID","20250327-001","","","","","31/01/2025 00:00:00","31/01/2025 00:00:00","Clear release ID or reactivate PO line"
"ISSUE","STALE_RELEASE","2798","2932011-BLON","RIGHT BUTTON","No BOM","394112","Kolektor Mobility d o o","","","55103450","28","ReleaseID","20250327-001","","","","","31/01/2025 00:00:00","31/01/2025 00:00:00","Clear release ID or reactivate PO line"
"ISSUE","STALE_RELEASE","2798","2932011-CHAC","RIGHT BUTTON","RM","394112","Kolektor Mobility d o o","","","55103450","29","ReleaseID","20250327-001","","","","","31/01/2025 00:00:00","31/01/2025 00:00:00","Clear release ID or reactivate PO line"
"ISSUE","STALE_RELEASE","2798","2932024","LID FOAM PAD","No BOM","2189","ADIENT AUTOMOTIVE ROMANIA","","","55103535","8","ReleaseID","20250327-001","","","","","04/04/2025 00:00:00","04/04/2025 00:00:00","Clear release ID or reactivate PO line"
"ISSUE","STALE_RELEASE","2798","2932024","LID FOAM PAD","No BOM","322","ADIENT SLOVENJ GRADEC D.O.O.","","","55103537","1","ReleaseID","20211026-001","","","","","27/06/2022 00:00:00","27/06/2022 00:00:00","Clear release ID or reactivate PO line"
"ISSUE","STALE_RELEASE","2798","2932036","LID HINGE","No BOM","354340","TR Holland","","","55103453","1","ReleaseID","30062025-001","","","","","02/06/2025 00:00:00","02/06/2025 00:00:00","Clear release ID or reactivate PO line"
"ISSUE","STALE_RELEASE","2798","317094-O4_V","SEWING THREAD UPHOLSTERY","RM","307353","American&Efird, sukanci d.o.","","","55104116","14","ReleaseID","20240412-001","","","","","14/07/2024 00:00:00","14/07/2024 00:00:00","Clear release ID or reactivate PO line"
"ISSUE","STALE_RELEASE","2798","317094-P2_V","SEWING THREAD UPHOLSTERY","RM","307353","American&Efird, sukanci d.o.","","","55104116","15","ReleaseID","20240412-001","","","","","14/07/2024 00:00:00","14/07/2024 00:00:00","Clear release ID or reactivate PO line"
